Sector,Purchase
Retail,8110
Finance,111022
Finance,10418
Retail,6589
Retail,62064
Finance,86714
Finance,35832
Retail,17816
Retail,85646
Finance,5249
Finance,7653
Finance,6102
Retail,26461
Finance,3543
Retail,23867
Finance,17787
Retail,17634
Finance,55859
Finance,16276
Finance,34209
Retail,72486
Retail,2910
Finance,29449
Finance,13464
Finance,5304
Retail,6719
Retail,24368
Retail,29827
Finance,52441
Retail,76148
Finance,36310
Finance,64377
Finance,19165
Finance,5100
Finance,28955
Finance,31536
Retail,4763
Retail,16100
Retail,15242
Finance,24211
Retail,55774
Finance,3302
Retail,12663
Finance,17556
Retail,35760
Retail,822
Finance,34366
Retail,30100
Retail,60532
Retail,53467
Finance,52594
Finance,5900
Finance,74143
Finance,19669
Retail,36478
Retail,31882
Finance,8680
Finance,13683
Retail,15932
Retail,126577
Finance,5139
Retail,1611
Finance,13008
Finance,32820
Finance,17454
Retail,21651
Retail,26802
Retail,12389
Finance,76661
Finance,32543
Retail,12122
Retail,12067
Retail,1752
Finance,25241
Retail,16400
Finance,127188
Retail,61704
Retail,21681
Retail,16764
Retail,41945
Finance,63325
Finance,62312
Finance,8572
Finance,16663
Finance,83149
Finance,51795
Retail,19957
Finance,42684
Retail,24917
Finance,29912
Finance,53691
Finance,33991
Finance,410
Finance,19753
Retail,4167
Finance,23666
Finance,19012
Retail,100861
Finance,244
Retail,38086
Retail,54604
Retail,2785
Finance,39131
Finance,7972
Retail,57006
Retail,39459
Finance,22077
Retail,98970
Finance,12080
Finance,135477
Finance,124621
Retail,29797
Finance,13946
Retail,31862
Retail,8657
Retail,90851
Finance,58734
Finance,26402
Retail,21389
Finance,45543
Retail,15210
Retail,52052
Finance,12119
Finance,24576
Finance,81731
Retail,14654
Retail,36165
Retail,24274
Finance,30195
Finance,78705
Finance,60599
Retail,30071
Finance,20193
Finance,44089
Finance,74300
Retail,81906
Finance,3851
Retail,100217
Finance,5984
Retail,170664
Retail,19841
Finance,2563
Retail,65070
Retail,3421
Retail,8607
Retail,77872
Finance,103136
Finance,6701
Finance,23046
Retail,5879
Retail,81465
Retail,21058
Finance,16917
Finance,19760
Finance,20890
Finance,58287
Finance,28816
Finance,165550
Finance,6749
Finance,24228
Retail,51805
Retail,10937
Finance,66414
Retail,5011
Finance,129891
Retail,19458
Retail,467
Retail,48421
Retail,20443
Finance,5641
Retail,41317
Retail,137562
Finance,13458
Finance,28932
Retail,2555
Finance,26015
Retail,18153
Retail,7078
Finance,2138
Retail,3183
Retail,9723
Finance,24118
Retail,7027
Finance,38071
Retail,49735
Retail,7411
Retail,55607
Retail,10810
Retail,5279
Finance,28766
Finance,6450
Retail,255565
Retail,19682
Retail,7147
Finance,5721
Finance,23064
Finance,160826
Retail,33624
Retail,5393
Retail,117918
Finance,25548
Retail,10968
Finance,1478
Finance,40750
Retail,9022
Retail,148910
Finance,20427
Retail,72118
Finance,64470
Retail,35917
Retail,18336
Finance,209388
Retail,45207
Finance,37274
Finance,1102
Finance,19747
Finance,146412
Retail,12150
Retail,196284
Retail,92539
Finance,45511
Retail,324
Retail,5541
Finance,5799
Finance,165665
Retail,2571
Finance,42786
Finance,10057
Retail,18375
Finance,75549
Retail,1770
Retail,4392
Retail,6057
Retail,14895
Retail,64472
Finance,57065
Retail,25330
Finance,32565
Retail,134021
Finance,43746
Retail,29948
Finance,88393
Retail,40983
Retail,52868
Finance,14666
Retail,80581
Retail,3563
Retail,7539
Finance,29820
Retail,42397
Finance,59008
Finance,31551
Finance,5349
Finance,16001
Retail,141126
Retail,13399
Finance,25120
Retail,60798
Finance,30387
Retail,74743
Finance,26673
Retail,73211
Retail,56818
Finance,6496
Finance,19384
Retail,11097
Finance,12189
Finance,58817
Retail,19059
Finance,11381
Finance,30064
Retail,19064
Finance,32288
Retail,57112
Retail,9481
Retail,51734
Retail,25788
Finance,45178
Finance,94731
Finance,387
Retail,118523
Finance,14582
Finance,61008
Retail,84777
Finance,72684
Finance,24800
Finance,6421
Retail,3596
Retail,21118
Finance,11346
Retail,62125
Retail,48723
Finance,6455
Retail,21264
Retail,17818
Retail,6219
Retail,10715
Finance,30034
Finance,16825
Retail,23223
Finance,34070
Finance,974
Finance,61496
Retail,35487
Finance,70184
Finance,11426
Retail,14255
Finance,31498
Retail,1817
Finance,2791
Finance,11717
Retail,118398
Retail,19322
Retail,88147
Finance,6572
Finance,7583
Finance,3295
Retail,91496
Retail,76069
Retail,36675
Finance,108293
Finance,30660
Finance,39733
Finance,6022
Retail,15695
Retail,69923
Finance,35543
Finance,47089
Finance,19673
Finance,12747
Retail,8750
Retail,146048
Retail,60796
Retail,31600
Finance,8433
Finance,127735
Retail,47120
Finance,9063
Retail,57765
Retail,34822
Retail,10008
Finance,63932
Finance,4953
Retail,107230
Retail,51530
Retail,67419
Retail,20440
Finance,40235
Finance,3534
Retail,6880
Retail,21158
Finance,20389
Retail,82705
Retail,1563
Finance,85488
Retail,4284
Finance,39089
Finance,9300
Retail,62214
Retail,92498
Finance,60754
Retail,4113
Finance,121554
Finance,598
Finance,161727
Retail,22690
Finance,30383
Finance,4764
Finance,108594
Retail,14046
Retail,12130
Retail,89833
Finance,15555
Finance,30013
Retail,10260
Finance,92584
Retail,69760
Finance,52262
Finance,39800
Finance,73993
Finance,36550
Finance,11889
Finance,91910
Finance,4582
Finance,21587
Retail,89115
Finance,10829
Finance,23076
Retail,3814
Retail,21648
Retail,18877
Retail,21593
Retail,46770
Retail,6246
Finance,20227
Retail,14068
Retail,7295
Retail,52219
Retail,9024
Retail,36238
Retail,49942
Finance,7626
Finance,48483
Finance,9306
Finance,32207
Finance,81889
Finance,11387
Retail,53338
Retail,72502
Finance,116287
Retail,40258
Finance,20338
Retail,57961
Finance,88735
Finance,10164
Retail,40758
Retail,44392
Retail,5986
Finance,11811
Retail,13435
Retail,80465
Retail,63017
Retail,110695
Finance,158169
Finance,13275
Finance,45995
Retail,38530
Finance,33190
Finance,26672
Finance,30799
Retail,46504
Retail,10427
Finance,14441
Retail,14256
Retail,19437
Retail,71299
Finance,46357
Finance,86494
Finance,105935
Finance,3746
Retail,31408
Retail,30477
Retail,23919
Finance,16407
Finance,39496
Retail,84057
Retail,122511
Finance,42158
Retail,375
Retail,4663
Finance,362
Retail,29368
Retail,35407
Finance,27825
Finance,76944
Finance,49635
Retail,113505
Retail,144871
Finance,34754
Retail,143292
Retail,10883
Finance,73165
Finance,1031
Retail,10538
Retail,565
Retail,12995
Retail,32040
Finance,17987
Finance,68621
Retail,82405
Finance,3522
Retail,6975
Finance,10519
Finance,5393
Finance,14662
Retail,10114
Retail,8154
Retail,38397
Retail,69643
Finance,10499
Finance,46503
Retail,106966
Retail,92639
Finance,7678
Finance,10121
Retail,37984
Finance,44723
Finance,128993
Finance,18007
Retail,142736
Finance,8798
Finance,31901
Finance,10285
Finance,79373
Finance,7864
Retail,163955
Finance,153808
Retail,30056
Retail,34080
Finance,36167
Retail,2654
Retail,10800
Retail,29650
Finance,13734
Finance,666
Retail,13124
Retail,22876
Retail,3640
Finance,21334
Finance,55579
Retail,59302
Retail,84116
Retail,234227
Finance,59284
Finance,38473
Retail,5189
Retail,15118
Finance,19090
Retail,9853
Retail,83668
Retail,80748
Retail,21952
Finance,89932
Finance,86859
Finance,41981
Retail,120398
Finance,97045
Retail,65156
Retail,44256
Finance,71457
Finance,41931
Finance,41609
Retail,36901
Finance,21189
Finance,15555
Finance,15581
Finance,3743
Retail,13765
Finance,18551
Retail,10266
Retail,5075
Retail,14506
Retail,43774
Retail,15103
Retail,35830
Finance,35819
Retail,3913
Retail,7274
Retail,33593
Finance,22765
Finance,68867
Retail,308171
Finance,102058
Finance,37664
Retail,52463
Finance,9236
Retail,31201
Retail,13063
Retail,192857
Finance,17380
Finance,99248
Finance,13714
Retail,10834
Retail,6510
Finance,136813
Finance,45860
Finance,17720
Retail,10829
Finance,9520
Retail,20620
Finance,32503
Finance,3568
Retail,107380
Finance,2058
Retail,161869
Retail,121166
Finance,160953
Finance,92919
Finance,58759
Retail,88389
Finance,87006
Retail,28814
Retail,76353
Finance,32450
Retail,32774
Retail,127909
Retail,19447
Retail,24900
Retail,1410
Finance,85795
Finance,176115
Finance,15303
Finance,20537
Retail,66738
Retail,8471
Finance,12296
Retail,11544
Finance,6896
Retail,68453
Finance,15872
Retail,34734
Retail,13258
Finance,20265
Finance,15642
Finance,8005
Retail,138355
Retail,12735
Retail,396
Finance,1131
Finance,84424
Finance,58862
Finance,4669
Retail,48354
Retail,21470
Retail,69413
Finance,13404
Retail,8013
Finance,17027
Finance,134903
Finance,33940
Finance,18607
Retail,19692
Finance,41470
Retail,61839
Finance,86703
Retail,61858
Finance,101830
Retail,7089
Finance,31061
Retail,7276
Finance,104312
Retail,66669
Retail,108551
Finance,16954
Finance,5025
Retail,26371
Retail,70665
Finance,13975
Finance,111481
Retail,7493
Finance,38118
Retail,47130
Finance,37330
Finance,59457
Finance,30148
Retail,10873
Finance,40007
Retail,10173
Finance,32298
Retail,55603
Retail,6439
Finance,5629
Retail,138615
Finance,26717
Retail,33036
Finance,52947
Finance,50389
Retail,32694
Retail,6488
Retail,26290
Retail,137180
Finance,54177
Finance,21897
Retail,29498
Retail,54921
Retail,11954
Retail,3680
Retail,91977
Finance,4162
Retail,2043
Retail,19846
Finance,4548
Finance,18304
Finance,99710
Retail,8146
Finance,160666
Finance,37388
Finance,16428
Retail,19841
Finance,18006
Retail,76966
Finance,68244
Retail,431
Finance,9615
Retail,7643
Finance,15313
Finance,8273
Finance,6907
Finance,45392
Finance,54138
Finance,9946
Retail,75559
Retail,19158
Finance,11686
Finance,648
Finance,522
Retail,37295
Finance,94787
Retail,32353
Finance,45742
Finance,19526
Finance,11642
Finance,28659
Finance,16534
Retail,85988
Finance,83814
Retail,117669
Finance,41549
Finance,45145
Retail,31381
Finance,18536
Retail,7974
Retail,794
Retail,10409
Retail,91625
Finance,44384
Finance,20330
Retail,36054
Retail,47572
Retail,18955
Finance,8147
Retail,31514
Retail,70730
Retail,38751
Finance,7061
Finance,26634
Retail,7316
Retail,17499
Retail,27080
Retail,14923
Finance,8692
Retail,48571
Retail,1732
Finance,18845
Finance,20760
Retail,61578
Retail,37995
Finance,67915
Finance,15498
Finance,16167
Finance,8040
Finance,74903
Retail,32599
Retail,40157
Finance,76303
Finance,35784
Finance,4464
Finance,7699
Finance,100777
Finance,28318
Retail,16758
Retail,30887
Finance,34782
Retail,69905
Finance,63294
Retail,34407
Finance,14838
Finance,5569
Retail,23357
Finance,233
Retail,29767
Retail,12623
Retail,30694
Finance,73276
Finance,34522
Retail,23189
Finance,144606
Retail,127624
Finance,28667
Retail,19375
Finance,70304
Retail,65803
Finance,27979
Retail,17641
Retail,44940
Finance,196791
Retail,22691
Retail,74207
Finance,139311
Finance,10313
Finance,32540
Finance,1504
Finance,1179
Retail,13764
Finance,25522
Finance,44521
Finance,88239
Finance,49276
Retail,127405
Finance,26110
Finance,43697
Finance,42823
Retail,21048
Finance,27824
Finance,15040
Retail,7555
Finance,34265
Finance,2102
Finance,1203
Finance,34966
Retail,21029
Finance,46644
Finance,20397
Finance,23198
Retail,44630
Finance,21940
Retail,26244
Finance,54336
Finance,72520
Finance,25745
Retail,15128
Finance,72831
Retail,34970
Retail,47298
Retail,51861
Retail,2046
Retail,216
Retail,51509
Retail,12673
Finance,39041
Retail,166288
Retail,38649
Retail,56177
Finance,54432
Finance,17086
Finance,53922
Finance,14633
Finance,30875
Finance,8263
Finance,30638
Retail,5656
Finance,42172
Retail,19237
Finance,8466
Finance,7162
Finance,126878
Retail,43500
Retail,11175
Retail,31879
Finance,91936
Finance,71911
Retail,23868
Finance,23914
Finance,6756
Finance,80607
Retail,32989
Retail,42821
Retail,35607
Finance,231665
Finance,39757
Finance,49908
Retail,49716
Retail,36344
Finance,10644
Finance,140288
Retail,36937
Finance,15337
Retail,34756
Finance,3838
Retail,11081
Retail,23239
Retail,13818
Finance,16759
Finance,83469
Retail,110099
Finance,1166
Finance,9612
Finance,27916
Retail,148589
Finance,52860
Retail,35210
Finance,65924
Retail,33483
Retail,9671
Retail,3065
Finance,8790
Retail,11751
Retail,27073
Retail,708
Finance,18577
Finance,53741
Retail,96179
Finance,75014
Finance,93740
Retail,22184
Retail,22373
Retail,55290
Retail,2253
Retail,42976
Retail,50800
Retail,2487
Finance,13317
Retail,12205
Retail,61614
Retail,24931
Retail,23989
Retail,39424
Retail,30331
Retail,25896
Retail,135001
Finance,45010
Retail,124327
Finance,6880
Finance,52517
Finance,50887
Retail,66510
Finance,24876
Retail,70764
Finance,51253
Finance,28677
Retail,41679
Finance,18840
Retail,54627
Retail,36667
Retail,295412
Finance,21367
Finance,31166
Finance,4074
Finance,40438
Retail,8419
Finance,48333
Finance,35254
Retail,20739
Finance,9684
Finance,1477
Retail,40642
Finance,40685
Retail,66534
Retail,143320
Finance,41823
Finance,30909
Retail,36881
Finance,562
Retail,25202
Retail,50200
Retail,74091
Retail,35666
Finance,1283
Finance,97622
Retail,65146
Retail,20101
Finance,44597
Finance,4767
Retail,64659
Finance,58173
Finance,112816
Finance,24832
Retail,23940
Retail,28120
Finance,42322
Retail,54266
Finance,133781
Finance,5540
Retail,44930
Retail,9164
Retail,44291
Retail,24166
Finance,12736
Retail,28648
Finance,9512
Finance,32413
Finance,59888
Finance,11126
Finance,70712
Finance,79616
Finance,3065
Finance,34007
Finance,61581
Finance,76986
Retail,44740
Finance,1623
Finance,11697
Finance,93011
Finance,4894
Retail,51483
Finance,48
Finance,114629
Retail,6935
Finance,8335
Finance,126277
Retail,17097
Retail,59805
Retail,6180
Finance,49558
Finance,83026
Retail,29085
Finance,10811
Finance,78944
Retail,26225
Retail,27220
Finance,47410
Finance,56391
Finance,14403
Retail,6558
Finance,94360
Retail,10971
Finance,36056
Finance,26752
Retail,5975
Retail,11117
Finance,66841
Retail,228680
Retail,6440
Finance,4614
Retail,9272
Finance,3511
Finance,5467
Retail,50786
Finance,135951
Retail,39967
Retail,15537
Finance,114705
Retail,309
Retail,12366
Finance,2919
Finance,15345
Retail,37702
Retail,16016
Retail,174971
Retail,106446
Finance,21925
Finance,41965
Retail,48359
Finance,98922
Finance,69148
Retail,7246
Retail,8999
Retail,13445
Retail,68569
Retail,108180
Retail,15732
Finance,55805
Finance,20912
Finance,17348
Finance,46567
Finance,71801
Retail,38857
Finance,9429
Finance,40476
Finance,52477
Finance,35506
Finance,19427
Finance,37096
Finance,13242
Retail,81724
Retail,25731
Finance,11992
Retail,35331
Finance,11795
Retail,13408
Retail,98209
Retail,8058
Retail,122352
Finance,48234
Finance,11114
Finance,12852
Finance,68260
Retail,62512
Finance,65631
Retail,67496
Finance,3762
Finance,58075
Finance,19071
Retail,62984
Finance,4192
Retail,3455
Finance,93798
Retail,193797
Retail,36028
Retail,32136
Retail,66986
Finance,66081
Retail,39116
Retail,9865
Finance,6211
Retail,41608
Finance,54549
Finance,30129
Retail,520
Retail,41662
Finance,133917
Retail,38818
Retail,39531
Finance,61923
Retail,200
Retail,1186
Finance,14551
Finance,5846
Finance,59650
Retail,24239
Retail,61739
Retail,23404
Finance,2682
Finance,32616
Retail,8177
Retail,61064
Finance,36617
Retail,152
Finance,55649
Retail,5962
Finance,2859
Finance,1659
Finance,7745
Retail,4898
Finance,3127
Retail,25538
Retail,17171
Finance,39209
Finance,35618
Retail,11097
Finance,79899
Retail,29414
Finance,133771
Retail,37756
Finance,50165
Finance,39274
Finance,33757
Retail,39248
Finance,74786
Finance,50337
Retail,151727
Finance,22084
Retail,106154
Finance,13948
Finance,30520
Finance,15748
Finance,20178
Retail,14364
Finance,12572
Retail,47617
Finance,11499
Retail,64353
Finance,5715
Finance,4536
Retail,235190
Retail,64420
Retail,10775
Finance,13736
Finance,52134
Retail,30030
Retail,3712
Finance,31492
Finance,24029
Finance,5855
Retail,15540
Finance,3981
Finance,62140
Finance,44616
Retail,27149
Finance,3728
Retail,28769
Finance,38126
Finance,118298
Finance,18277
Finance,12321
Retail,3060
Retail,104763
Retail,17194
Finance,93754
Finance,26086
Retail,41480
Retail,4780
Retail,41311
Retail,117
Finance,14921
Finance,165685
Retail,36891
Finance,23300
Retail,27819
Retail,35941
Finance,57833
Retail,843
Finance,5151
Retail,35716
Retail,50432
Finance,55959
Finance,15073
Retail,21263
Finance,26646
Finance,25122
Retail,13030
Finance,2366
Finance,30738
Retail,48568
Retail,13822
Finance,23932
Retail,107828
Finance,70989
Retail,36368
Finance,13200
Finance,39137
Finance,22935
Finance,34506
Finance,64645
Retail,47420
Retail,63449
Finance,33561
Finance,10690
Retail,3813
Retail,28796
Finance,52272
Finance,64168
Retail,4266
Finance,13353
Finance,18800
Retail,79414
Finance,159276
Retail,32516
Finance,9382
Finance,18155
Retail,26560
Retail,60483
Finance,86403
Retail,36466
Retail,30851
Retail,4111
Retail,1329
Retail,23063
Retail,45888
Retail,19900
Finance,33
Finance,25070
Retail,17975
Retail,10894
Finance,20410
Finance,163107
Retail,4603
Retail,144767
Retail,26577
Finance,833
Retail,26817
Retail,74083
Retail,2201
Retail,80954
Finance,17945
Finance,52283
Finance,40569
Finance,1010
Finance,46672
Retail,114524
Finance,14467
Finance,112489
Retail,58888
Finance,9992
Retail,13674
Retail,85001
Finance,8601
Finance,10947
Finance,21949
Retail,327
Finance,11840
Finance,4183
Retail,4188
Retail,14229
Finance,101514
Finance,6919
Finance,48259
Retail,33712
Retail,50858
Retail,15372
Finance,59415
Finance,29400
Retail,5631
Retail,33514
Retail,27174
Retail,91516
Retail,56916
Retail,49807
Finance,105023
Retail,35914
Finance,70472
Retail,94278
Retail,48706
Retail,16705
Retail,72376
Finance,21171
Retail,61511
Finance,3450
Finance,131913
Retail,1798
Retail,2992
Retail,35298
Retail,33987
Retail,68445
Finance,50179
Finance,23259
Retail,37165
Retail,8648
Finance,13612
Retail,37301
Finance,25350
Finance,19032
Retail,20911
Finance,102026
Finance,45755
Retail,5465
Finance,88240
Finance,133002
Retail,69825
Retail,43830
Finance,7916
Retail,67829
Retail,1146
Finance,149
Retail,28754
Finance,49142
Retail,46447
Retail,20874
Retail,10860
Finance,35891
Finance,10222
Retail,9776
Finance,26146
Finance,73915
Finance,34047
Retail,69252
Retail,2845
Retail,7330
Retail,13954
Retail,104274
Retail,2549
Finance,32040
Finance,6493
Retail,118046
Finance,60020
Retail,91571
Finance,11526
Finance,13876
Retail,15034
Finance,37042
Finance,64160
Finance,35751
Retail,833
Finance,6862
Finance,7787
Retail,30279
Finance,61095
Retail,4872
Finance,6838
Finance,33722
Finance,30179
Retail,18271
Finance,53101
Retail,27899
Finance,57169
Retail,155913
Finance,19227
Retail,16306
Finance,5224
Retail,22336
Retail,20267
Finance,12041
Finance,3873
Finance,31513
Finance,13060
Finance,20733
Retail,16277
Finance,75513
Finance,23340
Retail,16917
Finance,22971
Retail,35625
Retail,12631
Retail,13935
Retail,15045
Retail,53833
Finance,36686
Retail,18592
Finance,80707
Retail,103407
Retail,106485
Retail,52556
Retail,19735
Retail,15465
Finance,14393
Retail,15100
Finance,88840
Finance,47266
Finance,54081
Finance,15647
Retail,15610
Finance,21781
Finance,29781
Finance,5566
Retail,12
Finance,85711
Retail,15122
Retail,128774
Finance,18981
Retail,216380
Retail,124536
Finance,16249
Finance,6212
Retail,68147
Retail,23695
Retail,6779
Retail,28408
Retail,99242
Finance,1390
Finance,59935
Retail,12398
Finance,9463
Retail,7099
Retail,39706
Retail,39845
Retail,112556
Finance,11670
Finance,12703
Retail,8705
Retail,4182
Finance,7547
Retail,21834
Finance,50789
Retail,32286
Retail,727
Retail,2648
Retail,36040
Finance,49165
Retail,32010
Finance,12796
Retail,33399
Finance,24155
Finance,8638
Retail,22990
Retail,2086
Retail,166306
Finance,34082
Retail,68413
Finance,15019
Finance,25990
Finance,81218
Retail,25978
Retail,102721
Finance,59080
Finance,45089
Retail,30553
Finance,57232
Finance,36604
Finance,33512
Finance,26416
Retail,60735
Finance,18677
Retail,17154
Retail,8319
Retail,25805
Finance,5845
Finance,4507
Retail,26373
Retail,47830
Retail,27267
Retail,105265
Finance,43945
Finance,11151
Finance,23214
Retail,68229
Finance,64280
Finance,11349
Finance,16854
Retail,8057
Retail,49095
Retail,15049
Retail,40634
Retail,18740
Retail,11290
Finance,28070
Finance,72176
Finance,26946
Retail,9367
Retail,3227
Retail,571
Retail,13501
Finance,46037
Retail,75955
Retail,9351
Finance,18240
Finance,46345
Retail,71691
Finance,31933
Retail,14962
Retail,128860
Finance,27763
Finance,38307
Retail,4484
Finance,3934
Finance,109561
Finance,53927
Finance,9806
Retail,36601
Finance,25051
Retail,56219
Finance,59369
Retail,830
Finance,29393
Retail,22038
Retail,28665
Retail,59100
Finance,74173
Finance,1065
Finance,46515
Finance,18198
Finance,9873
Finance,8204
Retail,62738
Finance,20672
Retail,24605
Retail,10922
Retail,5414
Retail,4575
Retail,38134
Finance,15541
Finance,92313
Retail,53246
Retail,7492
Finance,17778
Retail,119875
Finance,11978
Finance,55053
Retail,71356
Retail,34654
Finance,29503
Retail,4754
Retail,67666
Retail,687
Finance,1906
Retail,58987
Finance,19476
Retail,8616
Retail,10012
Retail,98237
Retail,27567
Retail,12809
Finance,3437
Finance,52387
Finance,81095
Finance,1048
Finance,5866
Retail,59427
Finance,26786
Retail,10433
Finance,76523
Finance,7807
Finance,37179
Retail,27646
Finance,29178
Retail,71503
Finance,15112
Retail,94657
Retail,26534
Finance,5929
Retail,631
Finance,22149
Finance,30236
Finance,46170
Retail,34819
Finance,18532
Retail,48788
Retail,106838
Finance,8535
Finance,15069
Finance,31002
Finance,31981
Finance,27169
Retail,31575
Retail,30148
Finance,52928
Finance,100379
Retail,17406
Retail,499
Retail,3220
Finance,31749
Retail,39092
Finance,2089
Retail,14816
Finance,45061
Finance,19172
Finance,599
Retail,829
Retail,2281
Retail,73278
Retail,24220
Retail,44326
Finance,23898
Finance,9585
Retail,965
Finance,78282
Finance,14624
Retail,4708
Retail,17369
Finance,37381
Retail,9124
Retail,42010
Retail,16575
Retail,27331
Retail,29579
Retail,5284
Finance,26407
Finance,49
Retail,17841
Retail,30434
Retail,76454
Retail,135650
Finance,221427
Retail,31280
Retail,58951
Finance,23433
Retail,50000
Finance,9449
Retail,41637
Retail,91290
Retail,23048
Retail,17179
Retail,74548
Retail,67560
Finance,2295
Finance,27811
Retail,54126
Retail,9979
Retail,7078
Finance,10087
Retail,58124
Retail,32538
Retail,9798
Finance,69959
Retail,31319
Retail,195056
Finance,4126
Finance,20445
Finance,5804
Finance,123656
Retail,3691
Retail,29770
Finance,13672
Finance,60266
Retail,21231
Finance,65212
Retail,25556
Finance,44691
Retail,73124
Finance,6198
Finance,8697
Finance,71260
Retail,15410
Finance,2928
Retail,25396
Retail,5755
Finance,113094
Retail,13285
Finance,184404
Finance,59626
Retail,12847
Retail,51411
Retail,6829
Finance,64263
Retail,28250
Finance,47829
Finance,27858
Finance,14325
Finance,188286
Retail,36862
Retail,5
Finance,36734
Retail,16729
Retail,50885
Finance,8360
Retail,26254
Finance,21124
Finance,18978
Retail,27374
Finance,10163
Retail,49313
Retail,97711
Finance,21392
Finance,3464
Retail,30705
Finance,96446
Finance,160702
Finance,17023
Retail,652
Retail,6044
Retail,5224
Retail,19965
Retail,1997
Finance,8455
Retail,6631
Finance,77907
Retail,2717
Retail,36343
Retail,14034
Retail,20872
Retail,67093
Finance,38361
Finance,21778
Finance,49484
Finance,64379
Finance,12120
Finance,62528
Retail,3674
Finance,37926
Retail,88028
Finance,32732
Finance,7242
Finance,41568
Retail,36958
Retail,17324
Finance,30710
Retail,20644
Finance,21404
Finance,22033
Retail,26708
Finance,14489
Finance,12244
Retail,196038
Finance,34420
Finance,14227
Finance,1220
Retail,2695
Finance,53848
Retail,2734
Retail,58212
Retail,24555
Retail,24341
Retail,19184
Retail,140770
Finance,213956
Retail,2397
Finance,2347
Retail,3535
Finance,94428
Finance,55301
Finance,27541
Finance,3722
Finance,75268
Finance,65302
Finance,14253
Retail,52227
Finance,65127
Finance,27669
Retail,1572
Finance,173827
Retail,19316
Finance,86059
Finance,141382
Retail,45967
Retail,38084
Retail,75956
Finance,729
Finance,3912
Finance,29881
Retail,94154
Retail,11967
Retail,124939
Finance,6852
Retail,3615
Retail,22869
Finance,12090
Finance,6735
Finance,14
Finance,36776
Retail,40285
Finance,50328
Finance,78787
Retail,4461
Retail,10849
Finance,37062
Finance,6824
Retail,40423
Retail,30585
Retail,10698
Finance,1675
Finance,35727
Retail,18666
Finance,92691
Finance,34058
Finance,5258
Finance,6467
Retail,4393
Retail,11930
Finance,74517
Retail,35415
Retail,35204
Retail,85969
Retail,11661
Retail,86255
Finance,62944
Retail,55443
Finance,10036
Retail,125892
Retail,15469
Finance,19169
Retail,42003
Finance,66279
Finance,2564
Retail,22909
Retail,24068
Finance,53882
Retail,140276
Finance,24261
Finance,287882
Retail,3157
Finance,20963
Finance,16518
Finance,17604
Finance,50262
Retail,7832
Retail,15369
Finance,30510
Finance,38108
Retail,24714
Retail,22128
Finance,9225
Finance,106948
Finance,19482
Retail,94030
Retail,33306
Retail,64611
Finance,128379
Finance,29205
Finance,52243
Retail,36148
Retail,25146
Finance,278387
